"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
2463,"Cole Island Reef (20-086)",2014,14.25055,"Reefmod",NA,NA,54.3843383891824,48.1179568354832,60.5728102159159,12.4548533804327
2464,"Edgell Reefs (No 4) (20-128)",2014,16.98733,"Reefmod",NA,NA,65.6863202329,55.0759842931356,75.5887317108203,20.5127474176847
2465,"Henderson Reefs (20-129)",2014,16.14807,"Reefmod",NA,NA,67.5045409949418,60.4756683644265,73.6676662066306,13.1919978422041
2466,"U/N Reef (20-130)",2025,34.3,"RJFMP",NA,NA,34.3,34.3,34.3,0
2467,"U/N Reef (20-131)",2014,5.318077,"Reefmod",NA,NA,59.3784387355894,46.7555842676048,70.0473888214866,23.2918045538818
2468,"Cape Rock Reef (20-207)",2014,6.698688,"Reefmod",NA,NA,60.4236712892211,57.0114889438306,64.7042460866937,7.69275714286312
2469,"North Repulse Reef (20-208)",2014,12.79241,"Reefmod",NA,NA,53.729682527309,46.5730345111713,64.1108514915114,17.5378169803401
2470,"Ladysmith Reef (20-247)",2014,8.394676,"Reefmod",NA,NA,57.9948290089859,52.26634714105,64.6796249507557,12.4132778097057
2471,"Locksmith Reef (20-248)",2014,9.521064,"Reefmod",NA,NA,59.2886576738609,53.99639204849,67.8105299934347,13.8141379449447
2472,"Geranium Shoal (20-249)",2014,11.06893,"Reefmod",NA,NA,52.4848924493377,42.5511589771497,60.1598860905374,17.6087271133877
